"id","marks1","marks2"
1,54,-11
2,33,20
3,28,108
4,43,71
5,38,51
6,37,45
7,44,45
8,44,63
9,40,73
10,46,20
11,47,45
12,48,12
13,49,37
14,52,65
15,38,6
16,35,80
17,27,85
18,37,49
19,30,58
20,44,90
21,38,32
22,34,21
23,30,15
24,40,20
25,34,28
26,27,61
27,25,21
28,51,41
29,33,54
30,32,11
31,37,92
32,34,89
33,35,-4
34,36,35
35,33,38
36,29,55
37,47,14
38,38,38
39,25,73
40,48,79
41,22,56
42,35,60
43,37,30
44,30,36
45,42,84
46,24,51
47,55,29
48,43,99
49,56,32
50,46,83
51,23,67
52,46,61
53,44,40
54,50,76
55,50,0
56,44,20
57,46,42
58,34,54
59,55,53
60,22,41
61,21,41
62,27,64
63,49,30
64,28,-15
65,36,50
66,40,75
67,35,79
68,19,41
69,51,48
70,39,95
71,45,30
72,40,46
73,34,64
74,41,30
75,48,36
76,24,67
77,28,28
78,53,63
79,30,14
80,40,-10
81,25,68
82,46,46
83,45,36
84,37,34
85,55,79
86,34,17
87,37,78
88,51,18
89,44,45
90,48,43
91,54,67
92,42,-3
93,46,42
94,33,45
95,44,66
96,36,83
97,52,20
98,39,59
99,40,63
100,39,85
